id_puce,lot_id,défectueux
171,9,Non défectueux
172,9,Non défectueux
173,9,Non défectueux
174,9,Non défectueux
175,9,Non défectueux
176,9,Non défectueux
177,9,Non défectueux
178,9,Non défectueux
179,9,Non défectueux
180,9,Non défectueux
181,10,Non défectueux
182,10,Non défectueux
183,10,Non défectueux
184,10,Non défectueux
185,10,Non défectueux
186,10,Non défectueux
187,10,Non défectueux
188,10,Non défectueux
189,10,Non défectueux
190,10,Non défectueux
191,10,Non défectueux
192,10,Non défectueux
193,10,Non défectueux
194,10,Non défectueux
195,10,Non défectueux
196,10,Non défectueux
197,10,Non défectueux
198,10,Non défectueux
199,10,Défectueux
200,10,Non défectueux
201,11,Non défectueux
202,11,Non défectueux
203,11,Non défectueux
204,11,Non défectueux
205,11,Non défectueux
206,11,Non défectueux
207,11,Non défectueux
208,11,Non défectueux
209,11,Non défectueux
210,11,Non défectueux
211,11,Non défectueux
212,11,Défectueux
213,11,Non défectueux
214,11,Non défectueux
215,11,Non défectueux
216,11,Non défectueux
217,11,Non défectueux
218,11,Non défectueux
219,11,Défectueux
220,11,Non défectueux
221,12,Non défectueux
222,12,Non défectueux
223,12,Non défectueux
224,12,Non défectueux
225,12,Non défectueux
226,12,Non défectueux
227,12,Non défectueux
228,12,Non défectueux
229,12,Non défectueux
230,12,Défectueux
231,12,Non défectueux
232,12,Non défectueux
233,12,Non défectueux
234,12,Non défectueux
235,12,Non défectueux
236,12,Non défectueux
237,12,Non défectueux
238,12,Non défectueux
239,12,Non défectueux
240,12,Non défectueux
241,13,Non défectueux
242,13,Non défectueux
243,13,Non défectueux
244,13,Non défectueux
245,13,Défectueux
246,13,Non défectueux
247,13,Non défectueux
248,13,Non défectueux
249,13,Non défectueux
250,13,Non défectueux
251,13,Non défectueux
252,13,Non défectueux
253,13,Non défectueux
254,13,Non défectueux
255,13,Non défectueux
256,13,Non défectueux
257,13,Non défectueux
258,13,Non défectueux
259,13,Non défectueux
260,13,Non défectueux
261,14,Défectueux
262,14,Non défectueux
263,14,Non défectueux
264,14,Non défectueux
265,14,Non défectueux
266,14,Non défectueux
267,14,Non défectueux
268,14,Non défectueux
269,14,Non défectueux
270,14,Non défectueux
271,14,Non défectueux
272,14,Non défectueux
273,14,Défectueux
274,14,Non défectueux
275,14,Non défectueux
276,14,Non défectueux
277,14,Non défectueux
278,14,Non défectueux
279,14,Non défectueux
280,14,Non défectueux
281,15,Non défectueux
282,15,Non défectueux
283,15,Non défectueux
284,15,Non défectueux
285,15,Non défectueux
286,15,Non défectueux
287,15,Non défectueux
288,15,Non défectueux
289,15,Non défectueux
290,15,Non défectueux
291,15,Non défectueux
292,15,Non défectueux
293,15,Non défectueux
294,15,Non défectueux
295,15,Non défectueux
296,15,Non défectueux
297,15,Non défectueux
298,15,Non défectueux
299,15,Non défectueux
300,15,Non défectueux
301,16,Non défectueux
302,16,Défectueux
303,16,Non défectueux
304,16,Non défectueux
305,16,Non défectueux
306,16,Non défectueux
307,16,Non défectueux
308,16,Non défectueux
309,16,Non défectueux
310,16,Non défectueux
311,16,Défectueux
312,16,Non défectueux
313,16,Non défectueux
314,16,Non défectueux
315,16,Défectueux
316,16,Non défectueux
317,16,Non défectueux
318,16,Non défectueux
319,16,Non défectueux
320,16,Non défectueux
321,17,Non défectueux
322,17,Non défectueux
323,17,Non défectueux
324,17,Non défectueux
325,17,Non défectueux
326,17,Non défectueux
327,17,Non défectueux
328,17,Non défectueux
329,17,Non défectueux
330,17,Non défectueux
331,17,Non défectueux
332,17,Non défectueux
333,17,Non défectueux
334,17,Non défectueux
335,17,Non défectueux
336,17,Non défectueux
337,17,Non défectueux
338,17,Non défectueux
339,17,Non défectueux
340,17,Non défectueux
341,18,Non défectueux
342,18,Non défectueux
343,18,Non défectueux
344,18,Non défectueux
345,18,Non défectueux
346,18,Non défectueux
347,18,Défectueux
348,18,Non défectueux
349,18,Défectueux
350,18,Non défectueux
351,18,Non défectueux
352,18,Non défectueux
353,18,Non défectueux
354,18,Non défectueux
355,18,Non défectueux
356,18,Non défectueux
357,18,Défectueux
358,18,Non défectueux
359,18,Non défectueux
360,18,Non défectueux
361,19,Non défectueux
362,19,Non défectueux
363,19,Non défectueux
364,19,Non défectueux
365,19,Non défectueux
366,19,Non défectueux
367,19,Défectueux
368,19,Non défectueux
369,19,Non défectueux
370,19,Non défectueux
371,19,Non défectueux
372,19,Non défectueux
373,19,Non défectueux
374,19,Non défectueux
375,19,Non défectueux
376,19,Non défectueux
377,19,Défectueux
378,19,Non défectueux
379,19,Non défectueux
380,19,Non défectueux
381,20,Non défectueux
382,20,Défectueux
383,20,Non défectueux
384,20,Non défectueux
385,20,Non défectueux
386,20,Non défectueux
387,20,Non défectueux
388,20,Non défectueux
389,20,Non défectueux
390,20,Défectueux
391,20,Non défectueux
392,20,Non défectueux
393,20,Non défectueux
394,20,Non défectueux
395,20,Non défectueux
396,20,Non défectueux
397,20,Non défectueux
398,20,Non défectueux
399,20,Non défectueux
400,20,Non défectueux
401,21,Non défectueux
402,21,Non défectueux
403,21,Défectueux
404,21,Non défectueux
405,21,Non défectueux
406,21,Non défectueux
407,21,Non défectueux
408,21,Non défectueux
409,21,Défectueux
410,21,Non défectueux
411,21,Non défectueux
412,21,Défectueux
413,21,Non défectueux
414,21,Non défectueux
415,21,Non défectueux
416,21,Non défectueux
417,21,Non défectueux
418,21,Non défectueux
419,21,Non défectueux
420,21,Non défectueux
421,22,Non défectueux
422,22,Non défectueux
423,22,Non défectueux
424,22,Non défectueux
425,22,Défectueux
426,22,Non défectueux
427,22,Non défectueux
428,22,Non défectueux
429,22,Non défectueux
430,22,Non défectueux
431,22,Non défectueux
432,22,Non défectueux
433,22,Non défectueux
434,22,Non défectueux
435,22,Non défectueux
436,22,Non défectueux
437,22,Non défectueux
438,22,Défectueux
439,22,Non défectueux
440,22,Non défectueux
441,23,Non défectueux
442,23,Non défectueux
443,23,Non défectueux
444,23,Non défectueux
445,23,Non défectueux
446,23,Non défectueux
447,23,Non défectueux
448,23,Non défectueux
449,23,Non défectueux
450,23,Non défectueux
451,23,Non défectueux
452,23,Non défectueux
453,23,Non défectueux
454,23,Non défectueux
455,23,Non défectueux
456,23,Non défectueux
457,23,Défectueux
458,23,Non défectueux
459,23,Non défectueux
460,23,Non défectueux
461,24,Non défectueux
462,24,Défectueux
463,24,Non défectueux
464,24,Non défectueux
465,24,Non défectueux
466,24,Non défectueux
467,24,Non défectueux
468,24,Non défectueux
469,24,Non défectueux
470,24,Non défectueux
471,24,Non défectueux
472,24,Non défectueux
473,24,Non défectueux
474,24,Non défectueux
475,24,Non défectueux
476,24,Défectueux
477,24,Non défectueux
478,24,Non défectueux
479,24,Défectueux
480,24,Non défectueux
481,25,Non défectueux
482,25,Non défectueux
483,25,Non défectueux
484,25,Non défectueux
485,25,Non défectueux
486,25,Non défectueux
487,25,Non défectueux
488,25,Non défectueux
489,25,Défectueux
490,25,Non défectueux
491,25,Non défectueux
492,25,Non défectueux
493,25,Non défectueux
494,25,Non défectueux
495,25,Non défectueux
496,25,Non défectueux
497,25,Non défectueux
498,25,Non défectueux
499,25,Non défectueux
500,25,Non défectueux
501,26,Non défectueux
502,26,Défectueux
503,26,Non défectueux
504,26,Non défectueux
505,26,Non défectueux
506,26,Non défectueux
507,26,Défectueux
508,26,Non défectueux
509,26,Non défectueux
510,26,Non défectueux
511,26,Non défectueux
512,26,Non défectueux
513,26,Non défectueux
514,26,Non défectueux
515,26,Défectueux
516,26,Défectueux
517,26,Non défectueux
518,26,Non défectueux
519,26,Non défectueux
520,26,Non défectueux
521,27,Non défectueux
522,27,Non défectueux
523,27,Non défectueux
524,27,Non défectueux
525,27,Non défectueux
526,27,Non défectueux
527,27,Non défectueux
528,27,Non défectueux
529,27,Non défectueux
530,27,Non défectueux
531,27,Non défectueux
532,27,Non défectueux
533,27,Défectueux
534,27,Non défectueux
535,27,Non défectueux
536,27,Défectueux
537,27,Non défectueux
538,27,Non défectueux
539,27,Non défectueux
540,27,Non défectueux
541,28,Non défectueux
542,28,Non défectueux
543,28,Non défectueux
544,28,Non défectueux
545,28,Non défectueux
546,28,Non défectueux
547,28,Non défectueux
548,28,Non défectueux
549,28,Non défectueux
550,28,Non défectueux
551,28,Non défectueux
552,28,Non défectueux
553,28,Non défectueux
554,28,Non défectueux
555,28,Non défectueux
556,28,Non défectueux
557,28,Non défectueux
558,28,Non défectueux
559,28,Non défectueux
560,28,Non défectueux
561,29,Non défectueux
562,29,Non défectueux
563,29,Non défectueux
564,29,Non défectueux
565,29,Non défectueux
566,29,Défectueux
567,29,Non défectueux
568,29,Non défectueux
569,29,Non défectueux
570,29,Défectueux
571,29,Non défectueux
572,29,Non défectueux
573,29,Non défectueux
574,29,Non défectueux
575,29,Non défectueux
576,29,Non défectueux
577,29,Non défectueux
578,29,Non défectueux
579,29,Non défectueux
580,29,Non défectueux
581,30,Non défectueux
582,30,Non défectueux
583,30,Non défectueux
584,30,Défectueux
585,30,Non défectueux
586,30,Non défectueux
587,30,Non défectueux
588,30,Non défectueux
589,30,Non défectueux
590,30,Non défectueux
591,30,Non défectueux
592,30,Non défectueux
593,30,Non défectueux
594,30,Non défectueux
595,30,Non défectueux
596,30,Non défectueux
597,30,Non défectueux
598,30,Non défectueux
599,30,Non défectueux
600,30,Non défectueux
601,31,Non défectueux
602,31,Non défectueux
603,31,Défectueux
604,31,Non défectueux
605,31,Non défectueux
606,31,Non défectueux
607,31,Non défectueux
608,31,Non défectueux
609,31,Non défectueux
610,31,Non défectueux
611,31,Non défectueux
612,31,Non défectueux
613,31,Non défectueux
614,31,Non défectueux
615,31,Non défectueux
616,31,Non défectueux
617,31,Défectueux
618,31,Non défectueux
619,31,Non défectueux
620,31,Non défectueux
621,32,Non défectueux
622,32,Non défectueux
623,32,Défectueux
624,32,Non défectueux
625,32,Non défectueux
626,32,Non défectueux
627,32,Non défectueux
628,32,Non défectueux
629,32,Non défectueux
630,32,Non défectueux
631,32,Non défectueux
632,32,Non défectueux
633,32,Non défectueux
634,32,Non défectueux
635,32,Non défectueux
636,32,Non défectueux
637,32,Non défectueux
638,32,Non défectueux
639,32,Non défectueux
640,32,Non défectueux
641,33,Non défectueux
642,33,Non défectueux
643,33,Non défectueux
644,33,Non défectueux
645,33,Non défectueux
646,33,Non défectueux
647,33,Non défectueux
648,33,Non défectueux
649,33,Non défectueux
650,33,Non défectueux
651,33,Non défectueux
652,33,Non défectueux
653,33,Non défectueux
654,33,Non défectueux
655,33,Non défectueux
656,33,Non défectueux
657,33,Défectueux
658,33,Non défectueux
659,33,Non défectueux
660,33,Non défectueux
661,34,Défectueux
662,34,Non défectueux
663,34,Non défectueux
664,34,Non défectueux
665,34,Non défectueux
666,34,Non défectueux
667,34,Non défectueux
668,34,Non défectueux
669,34,Non défectueux
670,34,Non défectueux
671,34,Défectueux
672,34,Non défectueux
673,34,Non défectueux
674,34,Défectueux
675,34,Non défectueux
676,34,Défectueux
677,34,Non défectueux
678,34,Non défectueux
679,34,Défectueux
680,34,Non défectueux
681,35,Non défectueux
682,35,Non défectueux
683,35,Non défectueux
684,35,Non défectueux
685,35,Non défectueux
686,35,Non défectueux
687,35,Non défectueux
688,35,Non défectueux
689,35,Non défectueux
690,35,Non défectueux
691,35,Non défectueux
692,35,Non défectueux
693,35,Non défectueux
694,35,Non défectueux
695,35,Non défectueux
696,35,Non défectueux
697,35,Non défectueux
698,35,Non défectueux
699,35,Non défectueux
700,35,Défectueux
701,36,Non défectueux
702,36,Non défectueux
703,36,Non défectueux
704,36,Non défectueux
705,36,Non défectueux
706,36,Non défectueux
707,36,Non défectueux
708,36,Non défectueux
709,36,Non défectueux
710,36,Défectueux
711,36,Non défectueux
712,36,Non défectueux
713,36,Non défectueux
714,36,Non défectueux
715,36,Non défectueux
716,36,Non défectueux
717,36,Non défectueux
718,36,Non défectueux
719,36,Non défectueux
720,36,Non défectueux
721,37,Non défectueux
722,37,Non défectueux
723,37,Non défectueux
724,37,Non défectueux
725,37,Non défectueux
726,37,Non défectueux
727,37,Non défectueux
728,37,Non défectueux
729,37,Non défectueux
730,37,Défectueux
731,37,Non défectueux
732,37,Non défectueux
733,37,Non défectueux
734,37,Non défectueux
735,37,Non défectueux
736,37,Non défectueux
737,37,Non défectueux
738,37,Non défectueux
739,37,Non défectueux
740,37,Défectueux
741,38,Non défectueux
742,38,Non défectueux
743,38,Non défectueux
744,38,Défectueux
745,38,Non défectueux
746,38,Non défectueux
747,38,Défectueux
748,38,Non défectueux
749,38,Non défectueux
750,38,Non défectueux
751,38,Non défectueux
752,38,Non défectueux
753,38,Non défectueux
754,38,Non défectueux
755,38,Non défectueux
756,38,Non défectueux
757,38,Non défectueux
758,38,Non défectueux
759,38,Non défectueux
760,38,Défectueux
761,39,Non défectueux
762,39,Non défectueux
763,39,Non défectueux
764,39,Non défectueux
765,39,Non défectueux
766,39,Non défectueux
767,39,Non défectueux
768,39,Non défectueux
769,39,Non défectueux
770,39,Non défectueux
771,39,Non défectueux
772,39,Non défectueux
773,39,Non défectueux
774,39,Non défectueux
775,39,Non défectueux
776,39,Non défectueux
777,39,Non défectueux
778,39,Non défectueux
779,39,Défectueux
780,39,Non défectueux
781,40,Non défectueux
782,40,Non défectueux
783,40,Défectueux
784,40,Non défectueux
785,40,Non défectueux
786,40,Non défectueux
787,40,Non défectueux
788,40,Non défectueux
789,40,Non défectueux
790,40,Non défectueux
791,40,Défectueux
792,40,Non défectueux
793,40,Défectueux
794,40,Non défectueux
795,40,Non défectueux
796,40,Non défectueux
797,40,Non défectueux
798,40,Non défectueux
799,40,Non défectueux
800,40,Non défectueux
801,41,Non défectueux
802,41,Non défectueux
803,41,Non défectueux
804,41,Défectueux
805,41,Non défectueux
806,41,Non défectueux
807,41,Non défectueux
808,41,Non défectueux
809,41,Non défectueux
810,41,Non défectueux
811,41,Non défectueux
812,41,Non défectueux
813,41,Défectueux
814,41,Non défectueux
815,41,Non défectueux
816,41,Non défectueux
817,41,Non défectueux
818,41,Non défectueux
819,41,Non défectueux
820,41,Défectueux
821,42,Non défectueux
822,42,Non défectueux
823,42,Non défectueux
824,42,Non défectueux
825,42,Non défectueux
826,42,Non défectueux
827,42,Non défectueux
828,42,Non défectueux
829,42,Non défectueux
830,42,Non défectueux
831,42,Non défectueux
832,42,Défectueux
833,42,Non défectueux
834,42,Non défectueux
835,42,Non défectueux
836,42,Non défectueux
837,42,Non défectueux
838,42,Non défectueux
839,42,Non défectueux
840,42,Non défectueux
841,43,Défectueux
842,43,Non défectueux
843,43,Non défectueux
844,43,Non défectueux
845,43,Non défectueux
846,43,Non défectueux
847,43,Non défectueux
848,43,Non défectueux
849,43,Non défectueux
850,43,Non défectueux
851,43,Non défectueux
852,43,Non défectueux
853,43,Non défectueux
854,43,Non défectueux
855,43,Défectueux
856,43,Non défectueux
857,43,Non défectueux
858,43,Non défectueux
859,43,Défectueux
860,43,Non défectueux
861,44,Non défectueux
862,44,Non défectueux
863,44,Non défectueux
864,44,Non défectueux
865,44,Défectueux
866,44,Non défectueux
867,44,Non défectueux
868,44,Non défectueux
869,44,Non défectueux
870,44,Non défectueux
871,44,Non défectueux
872,44,Non défectueux
873,44,Non défectueux
874,44,Non défectueux
875,44,Non défectueux
876,44,Non défectueux
877,44,Non défectueux
878,44,Non défectueux
879,44,Non défectueux
880,44,Non défectueux
881,45,Défectueux
882,45,Non défectueux
883,45,Non défectueux
884,45,Non défectueux
885,45,Non défectueux
886,45,Non défectueux
887,45,Non défectueux
888,45,Non défectueux
889,45,Non défectueux
890,45,Non défectueux
891,45,Défectueux
892,45,Non défectueux
893,45,Non défectueux
894,45,Non défectueux
895,45,Non défectueux
896,45,Non défectueux
897,45,Non défectueux
898,45,Non défectueux
899,45,Défectueux
900,45,Défectueux
901,46,Non défectueux
902,46,Non défectueux
903,46,Non défectueux
904,46,Défectueux
905,46,Non défectueux
906,46,Non défectueux
907,46,Non défectueux
908,46,Non défectueux
909,46,Non défectueux
910,46,Défectueux
911,46,Non défectueux
912,46,Défectueux
913,46,Non défectueux
914,46,Non défectueux
915,46,Non défectueux
916,46,Non défectueux
917,46,Non défectueux
918,46,Non défectueux
919,46,Non défectueux
920,46,Défectueux
921,47,Non défectueux
922,47,Non défectueux
923,47,Non défectueux
924,47,Défectueux
925,47,Non défectueux
926,47,Non défectueux
927,47,Non défectueux
928,47,Non défectueux
929,47,Non défectueux
930,47,Non défectueux
931,47,Non défectueux
932,47,Défectueux
933,47,Non défectueux
934,47,Non défectueux
935,47,Non défectueux
936,47,Non défectueux
937,47,Non défectueux
938,47,Non défectueux
939,47,Non défectueux
940,47,Non défectueux
941,48,Non défectueux
942,48,Non défectueux
943,48,Non défectueux
944,48,Non défectueux
945,48,Non défectueux
946,48,Défectueux
947,48,Défectueux
948,48,Non défectueux
949,48,Non défectueux
950,48,Non défectueux
951,48,Non défectueux
952,48,Non défectueux
953,48,Défectueux
954,48,Non défectueux
955,48,Non défectueux
956,48,Défectueux
957,48,Non défectueux
958,48,Non défectueux
959,48,Non défectueux
960,48,Non défectueux
961,49,Non défectueux
962,49,Non défectueux
963,49,Non défectueux
964,49,Non défectueux
965,49,Non défectueux
966,49,Non défectueux
967,49,Non défectueux
968,49,Non défectueux
969,49,Non défectueux
970,49,Non défectueux
971,49,Non défectueux
972,49,Non défectueux
973,49,Non défectueux
974,49,Non défectueux
975,49,Non défectueux
976,49,Non défectueux
977,49,Non défectueux
978,49,Non défectueux
979,49,Non défectueux
980,49,Non défectueux
981,50,Non défectueux
982,50,Non défectueux
983,50,Non défectueux
984,50,Non défectueux
985,50,Non défectueux
986,50,Non défectueux
987,50,Non défectueux
988,50,Non défectueux
989,50,Non défectueux
990,50,Non défectueux
991,50,Non défectueux
992,50,Non défectueux
993,50,Non défectueux
994,50,Non défectueux
995,50,Non défectueux
996,50,Non défectueux
997,50,Non défectueux
998,50,Non défectueux
999,50,Non défectueux
1000,50,Non défectueux
1001,51,Non défectueux
1002,51,Non défectueux
1003,51,Non défectueux
1004,51,Non défectueux
1005,51,Non défectueux
1006,51,Non défectueux
1007,51,Non défectueux
1008,51,Non défectueux
1009,51,Non défectueux
1010,51,Non défectueux
1011,51,Non défectueux
1012,51,Non défectueux
1013,51,Non défectueux
1014,51,Non défectueux
1015,51,Non défectueux
1016,51,Défectueux
1017,51,Non défectueux
1018,51,Non défectueux
1019,51,Non défectueux
1020,51,Non défectueux
1021,52,Non défectueux
1022,52,Non défectueux
1023,52,Non défectueux
1024,52,Non défectueux
1025,52,Non défectueux
1026,52,Non défectueux
1027,52,Non défectueux
1028,52,Non défectueux
1029,52,Non défectueux
1030,52,Défectueux
1031,52,Non défectueux
1032,52,Non défectueux
1033,52,Non défectueux
1034,52,Non défectueux
1035,52,Non défectueux
1036,52,Non défectueux
1037,52,Non défectueux
1038,52,Non défectueux
1039,52,Non défectueux
1040,52,Non défectueux
1041,53,Non défectueux
1042,53,Non défectueux
1043,53,Non défectueux
1044,53,Non défectueux
1045,53,Non défectueux
1046,53,Non défectueux
1047,53,Non défectueux
1048,53,Non défectueux
1049,53,Non défectueux
1050,53,Non défectueux
1051,53,Non défectueux
1052,53,Non défectueux
1053,53,Non défectueux
1054,53,Non défectueux
1055,53,Défectueux
1056,53,Non défectueux
1057,53,Non défectueux
1058,53,Non défectueux
1059,53,Non défectueux
1060,53,Non défectueux
1061,54,Non défectueux
1062,54,Non défectueux
1063,54,Non défectueux
1064,54,Non défectueux
1065,54,Non défectueux
1066,54,Non défectueux
1067,54,Non défectueux
1068,54,Non défectueux
1069,54,Non défectueux
1070,54,Défectueux
1071,54,Défectueux
1072,54,Non défectueux
1073,54,Non défectueux
1074,54,Non défectueux
1075,54,Non défectueux
1076,54,Non défectueux
1077,54,Non défectueux
1078,54,Non défectueux
1079,54,Non défectueux
1080,54,Non défectueux
1081,55,Non défectueux
1082,55,Non défectueux
1083,55,Non défectueux
1084,55,Non défectueux
1085,55,Non défectueux
1086,55,Non défectueux
1087,55,Non défectueux
1088,55,Non défectueux
1089,55,Non défectueux
1090,55,Non défectueux
1091,55,Non défectueux
1092,55,Non défectueux
1093,55,Non défectueux
1094,55,Non défectueux
1095,55,Non défectueux
1096,55,Non défectueux
1097,55,Non défectueux
1098,55,Non défectueux
1099,55,Non défectueux
1100,55,Non défectueux
1101,56,Défectueux
1102,56,Non défectueux
1103,56,Non défectueux
1104,56,Non défectueux
1105,56,Non défectueux
1106,56,Non défectueux
1107,56,Non défectueux
1108,56,Non défectueux
1109,56,Non défectueux
1110,56,Non défectueux
1111,56,Non défectueux
1112,56,Non défectueux
1113,56,Non défectueux
1114,56,Défectueux
1115,56,Non défectueux
1116,56,Non défectueux
1117,56,Non défectueux
1118,56,Non défectueux
1119,56,Non défectueux
1120,56,Non défectueux
1121,57,Non défectueux
1122,57,Non défectueux
1123,57,Non défectueux
1124,57,Non défectueux
1125,57,Non défectueux
1126,57,Défectueux
1127,57,Non défectueux
1128,57,Défectueux
1129,57,Non défectueux
1130,57,Non défectueux
1131,57,Non défectueux
1132,57,Non défectueux
1133,57,Non défectueux
1134,57,Non défectueux
1135,57,Défectueux
1136,57,Non défectueux
1137,57,Non défectueux
1138,57,Non défectueux
1139,57,Défectueux
1140,57,Non défectueux
1141,58,Non défectueux
1142,58,Non défectueux
1143,58,Non défectueux
1144,58,Non défectueux
1145,58,Non défectueux
1146,58,Non défectueux
1147,58,Non défectueux
1148,58,Non défectueux
1149,58,Non défectueux
1150,58,Non défectueux
1151,58,Non défectueux
1152,58,Non défectueux
1153,58,Non défectueux
1154,58,Non défectueux
1155,58,Défectueux
1156,58,Non défectueux
1157,58,Non défectueux
1158,58,Non défectueux
1159,58,Non défectueux
1160,58,Non défectueux
1161,59,Non défectueux
1162,59,Non défectueux
1163,59,Non défectueux
1164,59,Non défectueux
1165,59,Non défectueux
1166,59,Non défectueux
1167,59,Non défectueux
1168,59,Non défectueux
1169,59,Non défectueux
1170,59,Non défectueux
1171,59,Non défectueux
1172,59,Non défectueux
1173,59,Non défectueux
1174,59,Non défectueux
1175,59,Non défectueux
1176,59,Non défectueux
1177,59,Non défectueux
1178,59,Non défectueux
1179,59,Non défectueux
1180,59,Non défectueux
1181,60,Non défectueux
1182,60,Défectueux
1183,60,Non défectueux
1184,60,Non défectueux
1185,60,Non défectueux
1186,60,Défectueux
1187,60,Non défectueux
1188,60,Non défectueux
1189,60,Non défectueux
1190,60,Non défectueux
1191,60,Défectueux
1192,60,Non défectueux
1193,60,Non défectueux
1194,60,Non défectueux
1195,60,Non défectueux
1196,60,Non défectueux
1197,60,Non défectueux
1198,60,Non défectueux
1199,60,Non défectueux
1200,60,Non défectueux
1201,61,Défectueux
1202,61,Non défectueux
1203,61,Non défectueux
1204,61,Non défectueux
1205,61,Non défectueux
1206,61,Non défectueux
1207,61,Non défectueux
1208,61,Non défectueux
1209,61,Non défectueux
1210,61,Non défectueux
1211,61,Non défectueux
1212,61,Non défectueux
1213,61,Non défectueux
1214,61,Non défectueux
1215,61,Non défectueux
1216,61,Non défectueux
1217,61,Non défectueux
1218,61,Non défectueux
1219,61,Non défectueux
1220,61,Non défectueux
1221,62,Non défectueux
1222,62,Non défectueux
1223,62,Non défectueux
1224,62,Défectueux
1225,62,Non défectueux
1226,62,Non défectueux
1227,62,Non défectueux
1228,62,Non défectueux
1229,62,Défectueux
1230,62,Non défectueux
1231,62,Non défectueux
1232,62,Défectueux
1233,62,Défectueux
1234,62,Non défectueux
1235,62,Non défectueux
1236,62,Défectueux
1237,62,Défectueux
1238,62,Non défectueux
1239,62,Non défectueux
1240,62,Défectueux
1241,63,Non défectueux
1242,63,Non défectueux
1243,63,Non défectueux
1244,63,Défectueux
1245,63,Non défectueux
1246,63,Non défectueux
1247,63,Non défectueux
1248,63,Non défectueux
1249,63,Non défectueux
1250,63,Défectueux
1251,63,Non défectueux
1252,63,Non défectueux
1253,63,Non défectueux
1254,63,Non défectueux
1255,63,Non défectueux
1256,63,Non défectueux
1257,63,Non défectueux
